d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
8,7,0.10276077310241975,0.95,100,0.83,0.52,0.18,0.6777236353368914,0.27887027785398355,0.902312845617763,0.12420495230623856,canonical
8,7,0.10276077310241975,0.9,100,0.73,0.34,0.18,0.6777236353368914,0.27887027785398355,0.902312845617763,0.12420495230623856,canonical
8,8,0.12478038171835158,0.99,100,0.87,0.0,0.09,0.8195559975966014,0.2165414719141032,1.0,3.1006841635969763e-16,canonical
8,8,0.12478038171835158,0.95,100,0.56,0.0,0.09,0.8195559975966014,0.2165414719141032,1.0,3.1006841635969763e-16,canonical
8,8,0.12478038171835158,0.9,100,0.49,0.0,0.09,0.8195559975966014,0.2165414719141032,1.0,3.1006841635969763e-16,canonical
8,10,0.1515183585302444,0.99,100,0.58,0.0,0.05,0.8990628107648206,0.181855170919721,1.0,3.3454392974351074e-16,canonical
8,10,0.1515183585302444,0.95,100,0.36,0.0,0.05,0.8990628107648206,0.181855170919721,1.0,3.3454392974351074e-16,canonical
8,10,0.1515183585302444,0.9,100,0.28,0.0,0.05,0.8990628107648206,0.181855170919721,1.0,3.3454392974351074e-16,canonical
8,12,0.18398575685975205,0.99,100,0.29,0.0,0.01,0.9531967172588355,0.13490538574416605,1.0,3.2953244754398605e-16,canonical
8,12,0.18398575685975205,0.95,100,0.2,0.0,0.01,0.9531967172588355,0.13490538574416605,1.0,3.2953244754398605e-16,canonical
8,12,0.18398575685975205,0.9,100,0.14,0.0,0.01,0.9531967172588355,0.13490538574416605,1.0,3.2953244754398605e-16,canonical
8,14,0.22341027883098988,0.99,100,0.15,0.0,0.0,0.9856939101813714,0.06950561425843929,1.0,3.400256261246416e-16,canonical
8,14,0.22341027883098988,0.95,100,0.08,0.0,0.0,0.9856939101813714,0.06950561425843929,1.0,3.400256261246416e-16,canonical
8,14,0.22341027883098988,0.9,100,0.03,0.0,0.0,0.9856939101813714,0.06950561425843929,1.0,3.400256261246416e-16,canonical
8,17,0.27128269893950263,0.99,100,0.04,0.0,0.0,0.9958630402429108,0.025948020663003463,1.0,3.5055632627505204e-16,canonical
8,17,0.27128269893950263,0.95,100,0.03,0.0,0.0,0.9958630402429108,0.025948020663003463,1.0,3.5055632627505204e-16,canonical
8,17,0.27128269893950263,0.9,100,0.01,0.0,0.0,0.9958630402429108,0.025948020663003463,1.0,3.5055632627505204e-16,canonical
8,21,0.32941323527721394,0.99,100,0.01,0.0,0.0,0.9996746635304562,0.003236718521649544,1.0,3.66205343881779e-16,canonical
8,21,0.32941323527721394,0.95,100,0.0,0.0,0.0,0.9996746635304562,0.003236718521649544,1.0,3.66205343881779e-16,canonical
8,21,0.32941323527721394,0.9,100,0.0,0.0,0.0,0.9996746635304562,0.003236718521649544,1.0,3.66205343881779e-16,canonical
8,26,0.4,0.99,100,0.0,0.0,0.0,0.9999999663732302,7.367988497257216e-08,1.0,3.58724037616909e-16,canonical
8,26,0.4,0.95,100,0.0,0.0,0.0,0.9999999663732302,7.367988497257216e-08,1.0,3.58724037616909e-16,canonical
8,26,0.4,0.9,100,0.0,0.0,0.0,0.9999999663732302,7.367988497257216e-08,1.0,3.58724037616909e-16,canonical
16,3,0.01,0.99,100,1.0,1.0,0.73,0.2543816985471489,0.13063894074934823,0.18895773882065128,0.08483675467714964,canonical
16,3,0.01,0.95,100,1.0,1.0,0.73,0.2543816985471489,0.13063894074934823,0.18895773882065128,0.08483675467714964,canonical
16,3,0.01,0.9,100,1.0,1.0,0.73,0.2543816985471489,0.13063894074934823,0.18895773882065128,0.08483675467714964,canonical
16,3,0.012142802934538581,0.99,100,1.0,1.0,0.75,0.26408940898662686,0.13558426812166208,0.19988230584253727,0.09045556786845318,canonical
16,3,0.012142802934538581,0.95,100,1.0,1.0,0.75,0.26408940898662686,0.13558426812166208,0.19988230584253727,0.09045556786845318,canonical
16,3,0.012142802934538581,0.9,100,1.0,1.0,0.75,0.26408940898662686,0.13558426812166208,0.19988230584253727,0.09045556786845318,canonical
16,4,0.014744766310703877,0.99,100,1.0,1.0,0.74,0.26083255671901706,0.1312222627291603,0.24196965272461465,0.10758067183875672,canonical
16,4,0.014744766310703877,0.95,100,1.0,1.0,0.74,0.26083255671901706,0.1312222627291603,0.24196965272461465,0.10758067183875672,canonical
16,4,0.014744766310703877,0.9,100,1.0,1.0,0.74,0.26083255671901706,0.1312222627291603,0.24196965272461465,0.10758067183875672,canonical
16,5,0.017904279162670064,0.99,100,1.0,1.0,0.45,0.30173102796215373,0.16144982035204028,0.32212789702396016,0.10665388071055941,canonical
16,5,0.017904279162670064,0.95,100,1.0,1.0,0.45,0.30173102796215373,0.16144982035204028,0.32212789702396016,0.10665388071055941,canonical
16,5,0.017904279162670064,0.9,100,1.0,1.0,0.45,0.30173102796215373,0.16144982035204028,0.32212789702396016,0.10665388071055941,canonical
16,6,0.0217408133557268,0.99,100,1.0,1.0,0.51,0.3263926667512054,0.15657060642716658,0.38252543130749955,0.10298309493715976,canonical
16,6,0.0217408133557268,0.95,100,1.0,1.0,0.51,0.3263926667512054,0.15657060642716658,0.38252543130749955,0.10298309493715976,canonical
16,6,0.0217408133557268,0.9,100,1.0,1.0,0.51,0.3263926667512054,0.15657060642716658,0.38252543130749955,0.10298309493715976,canonical
16,7,0.026399441221517498,0.99,100,1.0,1.0,0.42,0.3647835445080114,0.1738133261535364,0.4566347269227338,0.13171163532457206,canonical
16,7,0.026399441221517498,0.95,100,1.0,1.0,0.42,0.3647835445080114,0.1738133261535364,0.4566347269227338,0.13171163532457206,canonical
16,7,0.026399441221517498,0.9,100,1.0,1.0,0.42,0.3647835445080114,0.1738133261535364,0.4566347269227338,0.13171163532457206,canonical
16,8,0.03205632123348214,0.99,100,1.0,1.0,0.37,0.4007110241822975,0.21094941480979443,0.5315107349969795,0.12729378955862874,canonical
16,8,0.03205632123348214,0.95,100,1.0,1.0,0.37,0.4007110241822975,0.21094941480979443,0.5315107349969795,0.12729378955862874,canonical
16,8,0.03205632123348214,0.9,100,1.0,1.0,0.37,0.4007110241822975,0.21094941480979443,0.5315107349969795,0.12729378955862874,canonical
16,10,0.03892535915444382,0.99,100,1.0,1.0,0.3,0.47351450962741126,0.21461482183899133,0.6677031344323118,0.12089544296827402,canonical
16,10,0.03892535915444382,0.95,100,1.0,1.0,0.3,0.47351450962741126,0.21461482183899133,0.6677031344323118,0.12089544296827402,canonical
16,10,0.03892535915444382,0.9,100,0.99,0.99,0.3,0.47351450962741126,0.21461482183899133,0.6677031344323118,0.12089544296827402,canonical
16,12,0.047266296536854886,0.99,100,1.0,1.0,0.26,0.557378853691121,0.2679005731663347,0.79915318245775,0.11074146745659494,canonical
16,12,0.047266296536854886,0.95,100,1.0,0.92,0.26,0.557378853691121,0.2679005731663347,0.79915318245775,0.11074146745659494,canonical
16,12,0.047266296536854886,0.9,100,0.98,0.78,0.26,0.557378853691121,0.2679005731663347,0.79915318245775,0.11074146745659494,canonical
16,15,0.0573945324292492,0.99,100,1.0,0.42,0.15,0.7364178828907633,0.27261897015024517,0.9733417840580124,0.04731055411695349,canonical
16,15,0.0573945324292492,0.95,100,0.86,0.17,0.15,0.7364178828907633,0.27261897015024517,0.9733417840580124,0.04731055411695349,canonical
16,15,0.0573945324292492,0.9,100,0.65,0.07,0.15,0.7364178828907633,0.27261897015024517,0.9733417840580124,0.04731055411695349,canonical
16,18,0.06969304968083573,0.99,100,0.84,0.0,0.11,0.8204587597344218,0.2564074702650226,1.0,3.00581479055337e-16,canonical
16,18,0.06969304968083573,0.95,100,0.62,0.0,0.11,0.8204587597344218,0.2564074702650226,1.0,3.00581479055337e-16,canonical
16,18,0.06969304968083573,0.9,100,0.41,0.0,0.11,0.8204587597344218,0.2564074702650226,1.0,3.00581479055337e-16,canonical
16,22,0.08462689681813947,0.99,100,0.61,0.0,0.03,0.9267357345210702,0.15339000654969653,1.0000000000000002,2.804274799109738e-16,canonical
16,22,0.08462689681813947,0.95,100,0.36,0.0,0.03,0.9267357345210702,0.15339000654969653,1.0000000000000002,2.804274799109738e-16,canonical
16,22,0.08462689681813947,0.9,100,0.17,0.0,0.03,0.9267357345210702,0.15339000654969653,1.0000000000000002,2.804274799109738e-16,canonical
16,26,0.10276077310241975,0.99,100,0.4,0.0,0.02,0.9620565509385992,0.12188928245286712,1.0,3.094715564870033e-16,canonical
16,26,0.10276077310241975,0.95,100,0.13,0.0,0.02,0.9620565509385992,0.12188928245286712,1.0,3.094715564870033e-16,canonical
16,26,0.10276077310241975,0.9,100,0.05,0.0,0.02,0.9620565509385992,0.12188928245286712,1.0,3.094715564870033e-16,canonical
16,32,0.12478038171835158,0.99,100,0.14,0.0,0.0,0.9762066574369753,0.13140045925681423,1.0000000000000002,2.6622212897024595e-16,canonical
16,32,0.12478038171835158,0.95,100,0.05,0.0,0.0,0.9762066574369753,0.13140045925681423,1.0000000000000002,2.6622212897024595e-16,canonical
16,32,0.12478038171835158,0.9,100,0.02,0.0,0.0,0.9762066574369753,0.13140045925681423,1.0000000000000002,2.6622212897024595e-16,canonical
16,39,0.1515183585302444,0.99,100,0.08,0.0,0.0,0.9907986631079754,0.06831292893724691,1.0,3.484402727788097e-16,canonical
16,39,0.1515183585302444,0.95,100,0.03,0.0,0.0,0.9907986631079754,0.06831292893724691,1.0,3.484402727788097e-16,canonical
16,39,0.1515183585302444,0.9,100,0.01,0.0,0.0,0.9907986631079754,0.06831292893724691,1.0,3.484402727788097e-16,canonical
16,47,0.18398575685975205,0.99,100,0.01,0.0,0.0,0.9997794001915097,0.0016472419457142166,1.0,3.383904413151877e-16,canonical
16,47,0.18398575685975205,0.95,100,0.0,0.0,0.0,0.9997794001915097,0.0016472419457142166,1.0,3.383904413151877e-16,canonical
16,47,0.18398575685975205,0.9,100,0.0,0.0,0.0,0.9997794001915097,0.0016472419457142166,1.0,3.383904413151877e-16,canonical
16,57,0.22341027883098988,0.99,100,0.01,0.0,0.0,0.9997822459064362,0.0021641147015475735,1.0,3.261486818743804e-16,canonical
16,57,0.22341027883098988,0.95,100,0.0,0.0,0.0,0.9997822459064362,0.0021641147015475735,1.0,3.261486818743804e-16,canonical
16,57,0.22341027883098988,0.9,100,0.0,0.0,0.0,0.9997822459064362,0.0021641147015475735,1.0,3.261486818743804e-16,canonical
16,69,0.27128269893950263,0.99,100,0.0,0.0,0.0,0.9999997541183318,2.2409040722340625e-07,1.0,3.631634378508358e-16,canonical
16,69,0.27128269893950263,0.95,100,0.0,0.0,0.0,0.9999997541183318,2.2409040722340625e-07,1.0,3.631634378508358e-16,canonical
16,69,0.27128269893950263,0.9,100,0.0,0.0,0.0,0.9999997541183318,2.2409040722340625e-07,1.0,3.631634378508358e-16,canonical
16,84,0.32941323527721394,0.99,100,0.0,0.0,0.0,0.9999998085797437,1.6439074464184057e-07,1.0000000000000002,2.9226502509445547e-16,canonical
16,84,0.32941323527721394,0.95,100,0.0,0.0,0.0,0.9999998085797437,1.6439074464184057e-07,1.0000000000000002,2.9226502509445547e-16,canonical
16,84,0.32941323527721394,0.9,100,0.0,0.0,0.0,0.9999998085797437,1.6439074464184057e-07,1.0000000000000002,2.9226502509445547e-16,canonical
16,102,0.4,0.99,100,0.0,0.0,0.0,0.9999998397370483,1.6112286363259066e-07,1.0,3.0967063759893227e-16,canonical
16,102,0.4,0.95,100,0.0,0.0,0.0,0.9999998397370483,1.6112286363259066e-07,1.0,3.0967063759893227e-16,canonical
16,102,0.4,0.9,100,0.0,0.0,0.0,0.9999998397370483,1.6112286363259066e-07,1.0,3.0967063759893227e-16,canonical
32,10,0.01,0.99,100,1.0,1.0,0.53,0.22464948962473183,0.1160298355301505,0.30475299655988075,0.07211302444714936,canonical
32,10,0.01,0.95,100,1.0,1.0,0.53,0.22464948962473183,0.1160298355301505,0.30475299655988075,0.07211302444714936,canonical
32,10,0.01,0.9,100,1.0,1.0,0.53,0.22464948962473183,0.1160298355301505,0.30475299655988075,0.07211302444714936,canonical
32,12,0.012142802934538581,0.99,100,1.0,1.0,0.42,0.26872265782089455,0.14021483607094679,0.39704359613592494,0.08779743000478311,canonical
32,12,0.012142802934538581,0.95,100,1.0,1.0,0.42,0.26872265782089455,0.14021483607094679,0.39704359613592494,0.08779743000478311,canonical
32,12,0.012142802934538581,0.9,100,1.0,1.0,0.42,0.26872265782089455,0.14021483607094679,0.39704359613592494,0.08779743000478311,canonical
32,15,0.014744766310703877,0.99,100,1.0,1.0,0.37,0.2851933241149248,0.17505608652963656,0.4877855354592,0.09632341686094481,canonical
32,15,0.014744766310703877,0.95,100,1.0,1.0,0.37,0.2851933241149248,0.17505608652963656,0.4877855354592,0.09632341686094481,canonical
32,15,0.014744766310703877,0.9,100,1.0,1.0,0.37,0.2851933241149248,0.17505608652963656,0.4877855354592,0.09632341686094481,canonical
32,18,0.017904279162670064,0.99,100,1.0,1.0,0.35,0.31126743183469097,0.1841992070779013,0.5941716789056372,0.10075469888795435,canonical
32,18,0.017904279162670064,0.95,100,1.0,1.0,0.35,0.31126743183469097,0.1841992070779013,0.5941716789056372,0.10075469888795435,canonical
32,18,0.017904279162670064,0.9,100,1.0,1.0,0.35,0.31126743183469097,0.1841992070779013,0.5941716789056372,0.10075469888795435,canonical
32,22,0.0217408133557268,0.99,100,1.0,1.0,0.26,0.4709304217917611,0.2549544490073823,0.7176906241643046,0.07907326442461912,canonical
32,22,0.0217408133557268,0.95,100,1.0,1.0,0.26,0.4709304217917611,0.2549544490073823,0.7176906241643046,0.07907326442461912,canonical
32,22,0.0217408133557268,0.9,100,1.0,0.99,0.26,0.4709304217917611,0.2549544490073823,0.7176906241643046,0.07907326442461912,canonical
32,27,0.026399441221517498,0.99,100,1.0,0.97,0.14,0.6188510963386024,0.28000274012703824,0.8803717437206384,0.07287063561020227,canonical
32,27,0.026399441221517498,0.95,100,1.0,0.9,0.14,0.6188510963386024,0.28000274012703824,0.8803717437206384,0.07287063561020227,canonical
32,27,0.026399441221517498,0.9,100,0.97,0.49,0.14,0.6188510963386024,0.28000274012703824,0.8803717437206384,0.07287063561020227,canonical
32,33,0.03205632123348214,0.99,100,1.0,0.0,0.07,0.814121369094283,0.2251570865392531,1.0,2.997602166487923e-16,canonical
32,33,0.03205632123348214,0.95,100,0.92,0.0,0.07,0.814121369094283,0.2251570865392531,1.0,2.997602166487923e-16,canonical
32,33,0.03205632123348214,0.9,100,0.55,0.0,0.07,0.814121369094283,0.2251570865392531,1.0,2.997602166487923e-16,canonical
32,40,0.03892535915444382,0.99,100,0.97,0.0,0.08,0.868230640945559,0.2451173141181772,1.0,3.3027968761353313e-16,canonical
32,40,0.03892535915444382,0.95,100,0.51,0.0,0.08,0.868230640945559,0.2451173141181772,1.0,3.3027968761353313e-16,canonical
32,40,0.03892535915444382,0.9,100,0.18,0.0,0.08,0.868230640945559,0.2451173141181772,1.0,3.3027968761353313e-16,canonical
32,48,0.047266296536854886,0.99,100,0.73,0.0,0.03,0.929538418990492,0.17515578186935934,1.0,3.4416913763379854e-16,canonical
32,48,0.047266296536854886,0.95,100,0.24,0.0,0.03,0.929538418990492,0.17515578186935934,1.0,3.4416913763379854e-16,canonical
32,48,0.047266296536854886,0.9,100,0.07,0.0,0.03,0.929538418990492,0.17515578186935934,1.0,3.4416913763379854e-16,canonical
32,59,0.0573945324292492,0.99,100,0.34,0.0,0.0,0.9727671889759548,0.11291743591701087,1.0,3.048568113005685e-16,canonical
32,59,0.0573945324292492,0.95,100,0.06,0.0,0.0,0.9727671889759548,0.11291743591701087,1.0,3.048568113005685e-16,canonical
32,59,0.0573945324292492,0.9,100,0.02,0.0,0.0,0.9727671889759548,0.11291743591701087,1.0,3.048568113005685e-16,canonical
32,71,0.06969304968083573,0.99,100,0.2,0.0,0.0,0.9615589238368762,0.16462246768473116,1.0,3.403879337672476e-16,canonical
32,71,0.06969304968083573,0.95,100,0.06,0.0,0.0,0.9615589238368762,0.16462246768473116,1.0,3.403879337672476e-16,canonical
32,71,0.06969304968083573,0.9,100,0.04,0.0,0.0,0.9615589238368762,0.16462246768473116,1.0,3.403879337672476e-16,canonical
32,87,0.08462689681813947,0.99,100,0.07,0.0,0.0,0.9897454876018701,0.08209881488307262,1.0,3.0262488449481785e-16,canonical
32,87,0.08462689681813947,0.95,100,0.02,0.0,0.0,0.9897454876018701,0.08209881488307262,1.0,3.0262488449481785e-16,canonical
32,87,0.08462689681813947,0.9,100,0.01,0.0,0.0,0.9897454876018701,0.08209881488307262,1.0,3.0262488449481785e-16,canonical
32,105,0.10276077310241975,0.99,100,0.01,0.0,0.0,0.999712378921846,0.0021657373399699797,1.0,3.4826335462941055e-16,canonical
32,105,0.10276077310241975,0.95,100,0.0,0.0,0.0,0.999712378921846,0.0021657373399699797,1.0,3.4826335462941055e-16,canonical
32,105,0.10276077310241975,0.9,100,0.0,0.0,0.0,0.999712378921846,0.0021657373399699797,1.0,3.4826335462941055e-16,canonical
32,128,0.12478038171835158,0.99,100,0.0,0.0,0.0,0.9999933976009042,5.504582662934233e-05,1.0,3.4861710114481207e-16,canonical
32,128,0.12478038171835158,0.95,100,0.0,0.0,0.0,0.9999933976009042,5.504582662934233e-05,1.0,3.4861710114481207e-16,canonical
32,128,0.12478038171835158,0.9,100,0.0,0.0,0.0,0.9999933976009042,5.504582662934233e-05,1.0,3.4861710114481207e-16,canonical
32,155,0.1515183585302444,0.99,100,0.0,0.0,0.0,0.9999992109042148,4.952984530860095e-07,1.0,3.052608629176561e-16,canonical
32,155,0.1515183585302444,0.95,100,0.0,0.0,0.0,0.9999992109042148,4.952984530860095e-07,1.0,3.052608629176561e-16,canonical
32,155,0.1515183585302444,0.9,100,0.0,0.0,0.0,0.9999992109042148,4.952984530860095e-07,1.0,3.052608629176561e-16,canonical
32,188,0.18398575685975205,0.99,100,0.0,0.0,0.0,0.999999314836658,4.894962921932753e-07,1.0,3.1946655476429514e-16,canonical
32,188,0.18398575685975205,0.95,100,0.0,0.0,0.0,0.999999314836658,4.894962921932753e-07,1.0,3.1946655476429514e-16,canonical
32,188,0.18398575685975205,0.9,100,0.0,0.0,0.0,0.999999314836658,4.894962921932753e-07,1.0,3.1946655476429514e-16,canonical
32,229,0.22341027883098988,0.99,100,0.0,0.0,0.0,0.9999994626079918,3.822562704452559e-07,1.0,3.0546268830361724e-16,canonical
32,229,0.22341027883098988,0.95,100,0.0,0.0,0.0,0.9999994626079918,3.822562704452559e-07,1.0,3.0546268830361724e-16,canonical
32,229,0.22341027883098988,0.9,100,0.0,0.0,0.0,0.9999994626079918,3.822562704452559e-07,1.0,3.0546268830361724e-16,canonical
32,278,0.27128269893950263,0.99,100,0.0,0.0,0.0,0.9999994828499027,3.1573818323895977e-07,1.0,3.2971941632359275e-16,canonical
32,278,0.27128269893950263,0.95,100,0.0,0.0,0.0,0.9999994828499027,3.1573818323895977e-07,1.0,3.2971941632359275e-16,canonical
32,278,0.27128269893950263,0.9,100,0.0,0.0,0.0,0.9999994828499027,3.1573818323895977e-07,1.0,3.2971941632359275e-16,canonical
32,337,0.32941323527721394,0.99,100,0.0,0.0,0.0,0.9999995780034883,2.3118817284368307e-07,1.0,3.1421469200065625e-16,canonical
32,337,0.32941323527721394,0.95,100,0.0,0.0,0.0,0.9999995780034883,2.3118817284368307e-07,1.0,3.1421469200065625e-16,canonical
32,337,0.32941323527721394,0.9,100,0.0,0.0,0.0,0.9999995780034883,2.3118817284368307e-07,1.0,3.1421469200065625e-16,canonical
32,410,0.4,0.99,100,0.0,0.0,0.0,0.9999995541214368,3.2415134836672934e-07,1.0,3.38208266098046e-16,canonical
32,410,0.4,0.95,100,0.0,0.0,0.0,0.9999995541214368,3.2415134836672934e-07,1.0,3.38208266098046e-16,canonical
32,410,0.4,0.9,100,0.0,0.0,0.0,0.9999995541214368,3.2415134836672934e-07,1.0,3.38208266098046e-16,canonical
