d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
32,410,0.4,0.99,100,0.0,0.0,0.0,0.9999995541214368,3.241513483667294e-07,1.0,3.38208266098046e-16,canonical
32,410,0.4,0.95,100,0.0,0.0,0.0,0.9999995541214368,3.241513483667294e-07,1.0,3.38208266098046e-16,canonical
32,410,0.4,0.9,100,0.0,0.0,0.0,0.9999995541214368,3.241513483667294e-07,1.0,3.38208266098046e-16,canonical
64,41,0.01,0.99,100,1.0,1.0,0.21,0.0,0.0,0.0,0.0,canonical
64,50,0.0121,0.99,100,1.0,1.0,0.21,0.0,0.0,0.0,0.0,canonical
64,60,0.0147,0.99,100,1.0,0.95,0.16,0.0,0.0,0.0,0.0,canonical
64,73,0.0179,0.99,100,1.0,0.0,0.1,0.0,0.0,0.0,0.0,canonical
64,89,0.0217,0.99,100,0.97,0.0,0.05,0.0,0.0,0.0,0.0,canonical
64,108,0.0264,0.99,100,0.67,0.0,0.04,0.0,0.0,0.0,0.0,canonical
64,131,0.0321,0.99,100,0.39,0.0,0.0,0.0,0.0,0.0,0.0,canonical
64,159,0.0389,0.99,100,0.15,0.0,0.0,0.0,0.0,0.0,0.0,canonical
64,194,0.0473,0.99,100,0.06,0.0,0.0,0.0,0.0,0.0,0.0,canonical
64,235,0.0574,0.99,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canonical
64,285,0.0697,0.99,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canonical
