ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std
canonical,32,50,0.048828125,32,0.99,200,0.55,0.9079313617714708,0.228221775377888
canonical,32,53,0.0517578125,32,0.99,200,0.455,0.9456594363551912,0.16616953434470866
canonical,32,55,0.0537109375,32,0.99,200,0.41,0.9251028779323373,0.2184490123462208
canonical,32,57,0.0556640625,32,0.99,200,0.435,0.948156384022702,0.15741937788692223
canonical,32,60,0.05859375,32,0.99,200,0.35,0.9668230050179496,0.1224469673226106
canonical,32,61,0.0595703125,32,0.99,200,0.35,0.967037596860441,0.12093262922109702
canonical,32,65,0.0634765625,32,0.99,200,0.325,0.9588964870160946,0.1509212911749517
canonical,32,68,0.06640625,32,0.99,200,0.195,0.9866297225142026,0.072362448577839
canonical,32,69,0.0673828125,32,0.99,200,0.14,0.9886092968446727,0.06739092443605202
canonical,32,70,0.068359375,32,0.99,200,0.225,0.9662459652228068,0.1540469765898563
canonical,32,72,0.0703125,32,0.99,200,0.135,0.9781823427748606,0.1194101659817994
canonical,32,74,0.072265625,32,0.99,200,0.195,0.9674347196681828,0.1490935166946752
canonical,32,76,0.07421875,32,0.99,200,0.1,0.991602535252512,0.0710449637403448
canonical,32,79,0.0771484375,32,0.99,200,0.1,0.9864149039983658,0.0977562294391998
canonical,32,80,0.078125,32,0.99,200,0.13,0.9908584531015362,0.06954602422875789
canonical,32,84,0.08203125,32,0.99,200,0.125,0.9958030623031948,0.0131418757304928
canonical,32,87,0.0849609375,32,0.99,200,0.075,0.9917793400636847,0.06844610246671466
canonical,32,89,0.0869140625,32,0.99,200,0.065,0.9928952633769436,0.0704617821008242
canonical,32,91,0.0888671875,32,0.99,200,0.055,0.9923111877450682,0.07150802334646619
canonical,32,92,0.08984375,32,0.99,200,0.055,0.9928041374190183,0.07111785105269385
canonical,32,94,0.091796875,32,0.99,200,0.04,0.9984781681138312,0.0083801520372842
canonical,32,95,0.0927734375,32,0.99,200,0.08,0.9972053121804272,0.011987985873794368
canonical,32,99,0.0966796875,32,0.99,200,0.04,0.99821350584293,0.0105750094739509
canonical,32,102,0.099609375,32,0.99,200,0.035,0.9978912053342235,0.014176029957414444
canonical,32,103,0.1005859375,32,0.99,200,0.01,0.9988743322219966,0.0118417542561785
canonical,32,108,0.10546875,32,0.99,200,0.0,0.9999053074496684,0.0007336027427775
canonical,32,113,0.1103515625,32,0.99,200,0.005,0.9994967108766803,0.0067843769036013
canonical,32,118,0.115234375,32,0.99,200,0.01,0.9996825932224342,0.0031924165809547
canonical,32,123,0.1201171875,32,0.99,200,0.005,0.9997731298813064,0.0028527013210654
canonical,32,143,0.1396484375,32,0.99,200,0.005,0.999872895999642,0.0017930225750113
canonical,32,164,0.16015625,32,0.99,200,0.0,1.0,3.080743865682491e-16
canonical,32,184,0.1796875,32,0.99,200,0.0,1.0,2.9852408677807924e-16
canonical,32,205,0.2001953125,32,0.99,200,0.0,1.0,3.313043908409868e-16
canonical,64,15,0.003662109375,15,0.99,200,1.0,0.025168624313603796,0.0265376817501638
canonical,64,20,0.0048828125,20,0.99,200,1.0,0.0396538990803536,0.0470073475266331
canonical,64,41,0.010009765625,41,0.99,200,1.0,0.2425650226013464,0.2689710510732329
canonical,64,42,0.01025390625,42,0.99,200,1.0,0.26492896106942637,0.2747764440779022
canonical,64,61,0.014892578125,61,0.99,200,0.905,0.720192935868733,0.4014783076879171
canonical,64,70,0.01708984375,64,0.99,200,0.34,0.7944830354284278,0.3662489264558816
canonical,64,82,0.02001953125,64,0.99,200,0.485,0.8393497197216387,0.3126538753175021
canonical,64,91,0.022216796875,64,0.99,200,0.56,0.8827594169952448,0.25859789474922146
canonical,64,93,0.022705078125,64,0.99,200,0.575,0.902876926575783,0.2362323724521675
canonical,64,97,0.023681640625,64,0.99,200,0.7,0.8805305347567799,0.2659120326629007
canonical,64,99,0.024169921875,64,0.99,200,0.595,0.9371259313759174,0.16660788616821307
canonical,64,103,0.025146484375,64,0.99,200,0.695,0.9022266748331468,0.2363958735521311
canonical,64,108,0.0263671875,64,0.99,200,0.56,0.9538285877137599,0.13851160398331344
canonical,64,114,0.02783203125,64,0.99,200,0.58,0.9453169518548172,0.1669907170564148
canonical,64,116,0.0283203125,64,0.99,200,0.655,0.9182948343616877,0.22041819044848762
canonical,64,124,0.0302734375,64,0.99,200,0.5,0.9567339203299485,0.15350051721734917
canonical,64,125,0.030517578125,64,0.99,200,0.515,0.9657360712895484,0.1203095611464334
canonical,64,134,0.03271484375,64,0.99,200,0.415,0.9720435840913084,0.11949236734416324
canonical,64,136,0.033203125,64,0.99,200,0.365,0.9680549216919476,0.1380880884349784
canonical,64,142,0.03466796875,64,0.99,200,0.275,0.9867013534344098,0.06902406211970219
canonical,64,147,0.035888671875,64,0.99,200,0.285,0.9810430285786688,0.0991719876040333
canonical,64,151,0.036865234375,64,0.99,200,0.2,0.9881698285427194,0.07122791105820256
canonical,64,152,0.037109375,64,0.99,200,0.245,0.9824648041002277,0.09723031228279364
canonical,64,157,0.038330078125,64,0.99,200,0.19,0.9887826573780516,0.068537863169376
canonical,64,160,0.0390625,64,0.99,200,0.205,0.9842972004383842,0.09945744686117011
canonical,64,168,0.041015625,64,0.99,200,0.205,0.9939141496789392,0.0136742078219788
canonical,64,177,0.043212890625,64,0.99,200,0.11,0.9921046685939501,0.06831614470035086
canonical,64,179,0.043701171875,64,0.99,200,0.1,0.9925200960993312,0.0706627089052806
canonical,64,185,0.045166015625,64,0.99,200,0.075,0.9878733125554012,0.09838180351012597
canonical,64,190,0.04638671875,64,0.99,200,0.055,0.9886196473489404,0.0994758501241298
canonical,64,194,0.04736328125,64,0.99,200,0.035,0.9936740180482053,0.07056964919210522
canonical,64,200,0.048828125,64,0.99,200,0.065,0.9978206615626232,0.0090573127278297
canonical,64,203,0.049560546875,64,0.99,200,0.07,0.9979458283486602,0.00815296204453779
canonical,64,206,0.05029296875,64,0.99,200,0.065,0.9981309542022594,0.0072566398573655905
canonical,64,211,0.051513671875,64,0.99,200,0.025,0.99447166087197,0.0678219821418487
canonical,64,220,0.0537109375,64,0.99,200,0.02,0.9991874093593647,0.005898544058475557
canonical,64,222,0.05419921875,64,0.99,200,0.025,0.998834279286913,0.0081207781075892
canonical,64,229,0.055908203125,64,0.99,200,0.015,0.9997434116492252,0.0022065396219285585
canonical,64,233,0.056884765625,64,0.99,200,0.01,0.999673510690136,0.0024819365006644
canonical,64,237,0.057861328125,64,0.99,200,0.01,0.9998707552663046,0.0012815005892425982
canonical,64,244,0.0595703125,64,0.99,200,0.005,0.9949884374831334,0.0700919638052478
canonical,64,246,0.06005859375,64,0.99,200,0.015,0.999778330646723,0.0018522024574687706
canonical,64,254,0.06201171875,64,0.99,200,0.0,1.0,3.269036566852058e-16
canonical,64,265,0.064697265625,64,0.99,200,0.0,1.0,3.2529724078819406e-16
canonical,64,276,0.0673828125,64,0.99,200,0.005,0.9999298671223228,0.000888353968744
canonical,64,287,0.070068359375,64,0.99,200,0.0,1.0,3.1401849173675503e-16
canonical,64,328,0.080078125,64,0.99,200,0.0,1.0,3.146067254556851e-16
canonical,64,369,0.090087890625,64,0.99,200,0.0,1.0,3.121484386416806e-16
canonical,64,410,0.10009765625,64,0.99,200,0.0,1.0,3.436315130343406e-16
canonical,64,492,0.1201171875,64,0.99,200,0.0,1.0,2.984208448290196e-16
