ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std,nx,ny
GEO2,32,34,0.033203125,32,0.99,200,0.0,1.0,3.2906456082846107e-16,5,1
GEO2,32,38,0.037109375,32,0.99,200,0.0,1.0,3.1985215122904827e-16,5,1
GEO2,32,42,0.041015625,32,0.99,200,0.0,1.0,3.2906456082846107e-16,5,1
GEO2,32,47,0.0458984375,32,0.99,200,0.0,1.0,3.069721490933317e-16,5,1
GEO2,32,51,0.0498046875,32,0.99,200,0.0,1.0000000000000002,2.814147105486903e-16,5,1
GEO2,32,56,0.0546875,32,0.99,200,0.0,1.0,3.1665693838060307e-16,5,1
GEO2,32,60,0.05859375,32,0.99,200,0.0,1.0,3.3046623362536423e-16,5,1
GEO2,32,64,0.0625,32,0.99,200,0.0,1.0,3.4861710114481207e-16,5,1
GEO2,32,69,0.0673828125,32,0.99,200,0.0,1.0,3.218689540301739e-16,5,1
GEO2,32,73,0.0712890625,32,0.99,200,0.0,1.0,3.399349888776296e-16,5,1
GEO2,32,78,0.076171875,32,0.99,200,0.0,1.0,2.848971596493297e-16,5,1
GEO2,32,82,0.080078125,32,0.99,200,0.0,1.0,2.854374543877478e-16,5,1
GEO2,32,92,0.08984375,32,0.99,200,0.0,1.0,3.084742237080508e-16,5,1
GEO2,32,113,0.1103515625,32,0.99,200,0.0,1.0000000000000002,2.9258115825890746e-16,5,1
GEO2,32,133,0.1298828125,32,0.99,200,0.0,1.0,3.223472853299375e-16,5,1
