ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,8,12,0.1875,0.95,200,0.23,0.9416138602094476,0.15966926134509837,0.26,0.9182713473887929,0.20194531456434509,0.025
canonical,8,12,0.1875,0.95,200,0.2,0.9592133114831713,0.10645233042588696,0.235,0.9381354330560854,0.15756745806785435,0.02
canonical,8,12,0.1875,0.95,200,0.19,0.950381255437209,0.14876334407527647,0.2,0.9303711999289203,0.18868249095871234,0.025
canonical,8,13,0.203125,0.95,200,0.125,0.9609019311382648,0.12809171676959155,0.16,0.9435293721331164,0.17647625481129348,0.01
canonical,8,13,0.203125,0.95,200,0.17,0.9480930656441392,0.16075095570454495,0.175,0.9294232395079597,0.208518526164433,0.025
canonical,8,14,0.21875,0.95,200,0.105,0.9678333126388098,0.12461547187562247,0.135,0.9551266752797585,0.1591586102290385,0.0
canonical,8,14,0.21875,0.95,200,0.115,0.9654760981593077,0.13033735992576423,0.145,0.9504356320940591,0.16887183093169988,0.0
canonical,8,16,0.25,0.95,200,0.035,0.9943966832994164,0.03588529878319876,0.035,0.9910916755219159,0.05715848752123902,0.0
canonical,8,18,0.28125,0.95,200,0.025,0.9901526962757058,0.07417045838369697,0.03,0.9859037194998157,0.0970432128137424,0.0
canonical,8,20,0.3125,0.95,200,0.005,0.999127313610001,0.009527091636075421,0.01,0.9983462409604467,0.017901112984998087,0.0
canonical,8,22,0.34375,0.95,200,0.01,0.9932943705201979,0.06716180450734964,0.01,0.9911444928310698,0.08825685218190094,0.0
canonical,8,2,0.03125,0.9,200,1.0,0.3716081737816023,0.17562864255142077,1.0,0.17738981294340267,0.1464175884560642,0.975
canonical,8,3,0.046875,0.9,200,1.0,0.4081157741458362,0.191473374999595,1.0,0.21237105451957317,0.1733434222394405,0.52
canonical,8,4,0.0625,0.9,200,0.99,0.4846136015634535,0.20928235683784968,0.99,0.2886964717156268,0.22073422938000806,0.435
canonical,8,5,0.078125,0.9,200,0.94,0.5837099802719287,0.21865201389807065,0.97,0.39848358327566885,0.2541819638586669,0.235
canonical,8,6,0.09375,0.9,200,0.78,0.6698243942505371,0.25336870112887905,0.885,0.5238972368500828,0.3086633894078997,0.205
canonical,8,7,0.109375,0.9,200,0.67,0.732931289917621,0.24852376936297504,0.75,0.6103063920271425,0.31561995602849124,0.11
canonical,8,7,0.109375,0.9,200,0.66,0.748759470826854,0.22570410070668995,0.735,0.6292244076522087,0.3018948386032699,0.105
