ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
GEO2,8,2,0.03125,0.99,200,0.99,0.9107816259020712,0.047803413030352224,0.0,1.0,3.476434320826266e-16,1.0
GEO2,8,2,0.03125,0.99,200,0.995,0.9124420901673289,0.04808307013707549,0.0,1.0,3.4138229713147167e-16,1.0
GEO2,8,2,0.03125,0.99,200,0.985,0.9113213996144744,0.049735396666641334,0.0,1.0,3.1917705171003013e-16,1.0
GEO2,8,3,0.046875,0.99,200,0.98,0.955849806352388,0.027971399604355004,0.0,1.0,3.5187239770230145e-16,0.26
GEO2,8,3,0.046875,0.99,200,0.955,0.9546647553361516,0.028405182513042835,0.0,1.0,3.535323884327348e-16,0.355
