ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
GEO2,16,10,0.0390625,0.99,200,0.22,0.9925210126894161,0.005003788308906667,0.0,1.0,3.2110214185320386e-16,0.0
GEO2,16,11,0.04296875,0.99,200,0.045,0.9955706296963601,0.003027111728055136,0.0,1.0,3.0996901952548485e-16,0.0
GEO2,16,11,0.04296875,0.99,200,0.075,0.9953822052826089,0.0032827271920555187,0.0,1.0,3.479978087618791e-16,0.0
GEO2,16,12,0.046875,0.99,200,0.005,0.9976476230954211,0.0018422284214105102,0.0,1.0,3.0737342004776575e-16,0.0
GEO2,16,12,0.046875,0.99,200,0.01,0.9975083668648709,0.0021900702716409226,0.0,1.0,3.120497043552816e-16,0.0
GEO2,16,13,0.05078125,0.99,200,0.0,0.9986382248662093,0.0011782167692852797,0.0,1.0000000000000002,2.9780064150223626e-16,0.0
GEO2,16,13,0.05078125,0.99,200,0.0,0.9987300338409943,0.0011799936608290044,0.0,1.0,3.2406343207394935e-16,0.0
GEO2,16,14,0.0546875,0.99,200,0.0,0.9993724969477986,0.0006646440282192378,0.0,1.0,3.3491216753219436e-16,0.0
GEO2,16,14,0.0546875,0.99,200,0.0,0.9993664922807003,0.0006661761324327632,0.0,1.0,3.1076330402953557e-16,0.0
GEO2,16,15,0.05859375,0.99,200,0.0,0.9996947526160878,0.00043206908822018315,0.0,1.0,3.3472809927562376e-16,0.0
GEO2,16,15,0.05859375,0.99,200,0.0,0.9997844232264498,0.00027919143077058715,0.0,1.0,3.082743699626094e-16,0.0
GEO2,16,20,0.078125,0.99,200,0.0,0.9999934131293223,1.3197251625287778e-05,0.0,1.0,3.5492425361262695e-16,0.0
GEO2,16,24,0.09375,0.99,200,0.0,0.9999971249129626,2.9856284640627043e-06,0.0,1.0,3.1185214200286946e-16,0.0
GEO2,16,27,0.10546875,0.99,200,0.0,0.9999980465994548,1.822333364666735e-06,0.0,1.0,3.3176911878838166e-16,0.0
GEO2,16,31,0.12109375,0.99,200,0.0,0.9999982829128727,2.2817431051462988e-06,0.0,1.0,3.0897329250824657e-16,0.0
GEO2,32,5,0.0048828125,0.99,200,1.0,0.9095018441605189,0.02119666273236919,0.0,1.0,3.106641295243678e-16,0.01
GEO2,32,9,0.0087890625,0.99,200,1.0,0.9477220221645913,0.01311605303689854,0.0,1.0,3.3362155707631834e-16,0.0
GEO2,32,12,0.01171875,0.99,200,1.0,0.9661361015240673,0.010161585121949224,0.0,1.0,3.062686598583602e-16,0.0
GEO2,32,15,0.0146484375,0.99,200,0.93,0.9800003361780537,0.007422990685495075,0.0,1.0,3.394814396577995e-16,0.0
GEO2,32,17,0.0166015625,0.99,200,0.86,0.9848582827010921,0.005678346838471745,0.0,1.0,3.0797434617380487e-16,0.0
GEO2,32,18,0.017578125,0.99,200,0.625,0.987923812425228,0.005477391626683094,0.0,1.0,3.1333082332430004e-16,0.0
GEO2,32,19,0.0185546875,0.99,200,0.51,0.9890000393552358,0.004901758062016787,0.0,1.0,3.528343968566428e-16,0.0
GEO2,32,21,0.0205078125,0.99,200,0.195,0.9924717952308025,0.0035423193184100643,0.0,1.0,3.293453726225543e-16,0.0
GEO2,32,22,0.021484375,0.99,200,0.145,0.9934570528109439,0.0033921009726899493,0.0,1.0,3.39118163534852e-16,0.0
GEO2,32,23,0.0224609375,0.99,200,0.065,0.9945897418349435,0.0030200090794954225,0.0,1.0,3.241585071624183e-16,0.0
GEO2,32,25,0.0244140625,0.99,200,0.015,0.99632146194913,0.002259101051771281,0.0,1.0,3.3766115072321297e-16,0.0
GEO2,32,26,0.025390625,0.99,200,0.0,0.9966590877402288,0.0017440192958053612,0.0,1.0,3.009912699464481e-16,0.0
GEO2,32,27,0.0263671875,0.99,200,0.01,0.9971360715363047,0.002109761920916425,0.0,1.0,3.2577053834795163e-16,0.0
GEO2,32,29,0.0283203125,0.99,200,0.005,0.9978787877868078,0.0016639926297837239,0.0,1.0,3.1937008290500226e-16,0.0
GEO2,32,30,0.029296875,0.99,200,0.0,0.9980987972512942,0.0013916740659175662,0.0,1.0,3.3426748518749154e-16,0.0
GEO2,32,32,0.03125,0.99,200,0.0,0.9986898816771163,0.0010760377145498574,0.0,1.0,3.393906570810573e-16,0.0
GEO2,32,33,0.0322265625,0.99,200,0.0,0.9989440823124077,0.0009376355103700304,0.0,1.0000000000000002,2.6494583335660513e-16,0.0
GEO2,32,34,0.033203125,0.99,200,0.0,0.9991524352365471,0.0007654638942336225,0.0,1.0,3.0977013017582835e-16,0.0
GEO2,32,36,0.03515625,0.99,200,0.0,0.9993344471346252,0.0006093686235939219,0.0,1.0,3.1811328642149314e-16,0.0
GEO2,32,37,0.0361328125,0.99,200,0.005,0.9993624509759809,0.0013088402078904448,0.0,1.0,3.524848827571324e-16,0.0
GEO2,32,38,0.037109375,0.99,200,0.0,0.9994415029236972,0.0005962766318559721,0.0,1.0,2.993487405225706e-16,0.0
GEO2,32,40,0.0390625,0.99,200,0.0,0.999550068838237,0.0007616600855949656,0.0,1.0,3.24348573732348e-16,0.0
GEO2,32,41,0.0400390625,0.99,200,0.0,0.9996750943271135,0.0004971849959807264,0.0,1.0,3.3472809927562376e-16,0.0
GEO2,32,51,0.0498046875,0.99,200,0.0,0.9998936360247181,0.00013756475798466596,0.0,1.0,3.008888745463268e-16,0.0
GEO2,32,61,0.0595703125,0.99,200,0.0,0.9999448864565466,0.00010761915573147606,0.0,1.0,3.0867394805640033e-16,0.0
GEO2,32,72,0.0703125,0.99,200,0.0,0.9999739653095978,3.808943658279266e-05,0.0,1.0,3.236828524569469e-16,0.0
GEO2,32,82,0.080078125,0.99,200,0.0,0.9999738239444962,6.0312253868228314e-05,0.0,1.0000000000000002,2.781103136645446e-16,0.0
GEO2,64,20,0.0048828125,0.99,100,1.0,0.9579234651961417,0.010209752217134832,,,,0.0
GEO2,64,33,0.008056640625,0.99,100,0.92,0.9846783227870809,0.0040256269272698165,,,,0.0
GEO2,64,41,0.010009765625,0.99,100,0.41,0.9905719432722264,0.0034829658761019776,,,,0.0
GEO2,64,47,0.011474609375,0.99,100,0.02,0.9944200510447555,0.0018544505430807244,,,,0.0
GEO2,64,53,0.012939453125,0.99,100,0.0,0.9962125218360992,0.0017792795739990299,,,,0.0
GEO2,64,59,0.014404296875,0.99,100,0.0,0.9975471690235852,0.0014219386666032012,,,,0.0
GEO2,64,64,0.015625,0.99,100,0.0,0.9980880747051435,0.0009839670592160748,,,,0.0
GEO2,64,70,0.01708984375,0.99,100,0.0,0.9986161052363726,0.000814091636106798,,,,0.0
GEO2,64,76,0.0185546875,0.99,100,0.0,0.9990459020998779,0.0005783969043379835,,,,0.0
GEO2,64,82,0.02001953125,0.99,100,0.0,0.9991933488879574,0.0006360400474352022,,,,0.0
GEO2,64,88,0.021484375,0.99,100,0.0,0.9993882324760283,0.0004364037672765215,,,,0.0
GEO2,64,94,0.02294921875,0.99,100,0.0,0.9994847521206346,0.0003946480442410863,,,,0.0
GEO2,64,99,0.024169921875,0.99,100,0.0,0.9995307996266325,0.00033443400805977533,,,,0.0
GEO2,64,105,0.025634765625,0.99,100,0.0,0.9996501231859689,0.00024824994938272573,,,,0.0
GEO2,64,111,0.027099609375,0.99,100,0.0,0.9996285313562613,0.00033707770350622807,,,,0.0
GEO2,64,117,0.028564453125,0.99,100,0.0,0.9996664794937467,0.0002541448272357076,,,,0.0
GEO2,64,123,0.030029296875,0.99,100,0.0,0.9996989832770271,0.0002794620914546602,,,,0.0
GEO2,64,143,0.034912109375,0.99,100,0.0,0.9998189412756114,0.00016126086458315188,,,,0.0
GEO2,64,164,0.0400390625,0.99,100,0.0,0.9998168011133274,0.00017457449083199285,,,,0.0
