run_id,timestamp,ensemble,criterion,tau,d,K,m,rho_K_over_d2,trials,successes_unreach,p_unreach,log10_p_unreach,mean_best_overlap,sem_best_overlap
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,6,,0.006666666666666667,100,100,1.0,0.0,0.9279722324017139,0.0019142515971994536
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,7,,0.0077777777777777776,100,100,1.0,0.0,0.9366824712974835,0.001692096136201518
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,8,,0.008888888888888889,100,100,1.0,0.0,0.945341960725996,0.0015733775979833089
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,9,,0.01,100,100,1.0,0.0,0.9495397204300566,0.0016142221611012714
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,10,,0.011111111111111112,100,100,1.0,0.0,0.9595917108635758,0.001339372138346942
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,11,,0.012222222222222223,100,100,1.0,0.0,0.9642161375070007,0.0011515307321491356
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,12,,0.013333333333333334,100,100,1.0,0.0,0.9717619551916699,0.0010704096736777462
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,13,,0.014444444444444444,100,100,1.0,0.0,0.9763965097965575,0.000831736844729712
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.99,30,14,,0.015555555555555555,100,89,0.89,-0.05060999335508721,0.9808177125537675,0.0006905528754576264
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,2,,0.0022222222222222222,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,3,,0.0033333333333333335,100,28,0.28,-0.5528419686577808,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,4,,0.0044444444444444444,100,7,0.07,-1.154901959985743,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,5,,0.005555555555555556,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,6,,0.006666666666666667,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,7,,0.0077777777777777776,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,8,,0.008888888888888889,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,9,,0.01,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,10,,0.011111111111111112,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,11,,0.012222222222222223,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,12,,0.013333333333333334,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,13,,0.014444444444444444,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,old,,30,14,,0.015555555555555555,100,0,1e-12,-12.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,2,2,0.0022222222222222222,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,3,3,0.0033333333333333335,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,4,4,0.0044444444444444444,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,5,5,0.005555555555555556,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,6,6,0.006666666666666667,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,7,7,0.0077777777777777776,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,8,8,0.008888888888888889,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,9,9,0.01,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,10,10,0.011111111111111112,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,11,11,0.012222222222222223,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,12,12,0.013333333333333334,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,13,13,0.014444444444444444,100,100,1.0,0.0,,
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,krylov,,30,14,14,0.015555555555555555,100,100,1.0,0.0,,
